Soil_Type,Fertility_Index,Location,Season,Average_Rainfall(mm),Temperature(°C),Land_Use_Type,Market_Price,Soil_pH,Sunlight_Exposure(hours),Irrigation_Availability,Pest_and_Disease_History,Previous_Crop
Clay,77,Sylhet,Monsoon,354.42,26.71,Agricultural,141,5.35,6.47,Yes,None,None
Silt,73,Rangpur,Winter,305.67,34.34,Unused,420,5.08,9.55,No,Moderate,Rice
Clay,56,Barishal,Summer,276.7,18.09,Residential,164,7.54,4.13,Yes,Moderate,Vegetables
Clay,76,Barishal,Summer,328.68,30.66,Agricultural,470,6.5,6.98,No,Moderate,Rice
Clay,64,Khulna,Autumn,313.91,21.96,Barren,465,8.15,6.81,No,None,Tea
Sandy,77,Barishal,Autumn,62.58,36.32,Barren,242,5.09,8.35,No,High,Tea
Silt,97,Rajshahi,Autumn,188.16,38.21,Barren,390,7.08,4.58,No,High,Vegetables
Loamy,51,Barishal,Summer,375.78,39.91,Agricultural,276,5.43,10.32,Yes,Moderate,None
Peaty,62,Sylhet,Winter,94.0,34.9,Unused,287,5.13,5.74,Yes,Low,Wheat
Loamy,92,Sylhet,Winter,307.98,33.84,Residential,378,7.23,9.42,Yes,None,Tea
Silt,81,Rangpur,Summer,391.11,20.39,Barren,23,6.87,10.43,No,Moderate,Maize
Peaty,61,Dhaka,Winter,68.27,23.4,Agricultural,445,7.52,8.5,No,None,Wheat
Silt,60,Chattogram,Summer,288.77,26.64,Agricultural,416,5.74,9.93,No,None,Jute
Clay,66,Rajshahi,Winter,213.85,34.33,Residential,373,6.29,9.29,No,High,Tea
Peaty,96,Rangpur,Monsoon,252.71,37.87,Barren,125,6.12,6.84,No,Moderate,Maize
Clay,70,Rajshahi,Monsoon,79.87,19.73,Agricultural,104,8.44,10.47,No,High,Jute
Loamy,45,Dhaka,Summer,65.05,38.06,Residential,233,5.67,6.36,Yes,Moderate,Wheat
Loamy,66,Barishal,Winter,283.4,32.39,Unused,140,5.68,8.57,Yes,None,Vegetables
Peaty,79,Barishal,Autumn,338.16,30.27,Unused,151,5.92,9.96,Yes,High,Jute
Peaty,73,Chattogram,Winter,323.71,20.0,Unused,357,6.76,7.03,Yes,None,Rice
Silt,51,Dhaka,Monsoon,240.33,16.39,Barren,216,5.51,6.42,Yes,Moderate,Vegetables
Silt,84,Rangpur,Monsoon,84.95,29.21,Residential,38,8.16,7.67,Yes,Low,Vegetables
Clay,96,Chattogram,Winter,290.82,31.29,Residential,149,5.56,10.54,Yes,High,Wheat
Peaty,92,Dhaka,Winter,134.66,20.27,Agricultural,31,8.08,11.44,Yes,High,Wheat
Loamy,46,Khulna,Autumn,368.87,28.91,Agricultural,100,4.91,8.36,No,None,Maize
Silt,49,Sylhet,Autumn,343.39,36.41,Agricultural,349,7.13,9.29,No,None,Maize
Silt,84,Chattogram,Winter,298.28,35.88,Residential,373,8.13,11.23,No,Low,Rice
Loamy,56,Chattogram,Winter,382.1,38.18,Agricultural,281,5.17,4.79,No,High,Vegetables
Silt,65,Rangpur,Winter,61.0,24.15,Residential,411,8.37,5.86,No,Moderate,None
Clay,60,Rajshahi,Winter,307.67,22.95,Residential,144,6.31,9.67,No,Moderate,Rice
Peaty,67,Khulna,Summer,165.58,33.74,Unused,326,8.28,10.59,No,High,Rice
Loamy,97,Rangpur,Winter,367.12,25.78,Agricultural,286,7.21,10.86,Yes,High,None
Peaty,85,Dhaka,Autumn,143.34,17.19,Unused,466,5.71,7.32,Yes,High,None
Silt,41,Dhaka,Monsoon,303.7,22.07,Barren,460,5.25,4.71,No,Low,None
Silt,99,Dhaka,Summer,357.18,25.46,Barren,402,5.71,7.5,Yes,Moderate,Wheat
Loamy,93,Dhaka,Winter,64.58,22.31,Barren,159,4.87,5.85,Yes,Moderate,Rice
Clay,82,Rajshahi,Monsoon,189.18,23.31,Residential,348,5.08,6.33,Yes,None,Rice
Sandy,40,Khulna,Summer,316.81,22.34,Residential,21,4.92,10.18,Yes,None,Jute
Loamy,90,Barishal,Monsoon,209.22,16.04,Residential,27,6.19,4.6,Yes,High,None
Sandy,92,Sylhet,Winter,143.54,30.93,Agricultural,269,7.68,10.62,No,None,None
Sandy,75,Rajshahi,Winter,126.93,29.93,Unused,158,5.07,7.42,Yes,Low,Maize
Clay,90,Rajshahi,Autumn,96.03,31.33,Residential,143,5.02,8.77,No,Moderate,Maize
Sandy,65,Barishal,Winter,350.0,19.81,Unused,328,7.07,4.72,No,Moderate,Vegetables
Sandy,68,Barishal,Winter,251.37,22.39,Unused,247,5.29,6.7,No,None,Maize
Clay,60,Sylhet,Summer,76.73,30.49,Unused,29,4.89,4.72,Yes,High,Tea
Sandy,50,Sylhet,Autumn,183.9,29.99,Agricultural,488,5.17,11.69,No,None,Vegetables
Sandy,79,Barishal,Summer,178.71,27.66,Agricultural,231,8.19,10.46,No,High,None
Sandy,50,Dhaka,Monsoon,113.61,23.76,Barren,131,7.79,7.68,No,Low,Jute
Loamy,75,Rajshahi,Winter,202.43,37.82,Barren,27,5.92,5.79,No,Moderate,Maize
Loamy,88,Rangpur,Monsoon,166.23,23.49,Unused,311,7.12,11.47,Yes,Low,Jute
Loamy,98,Sylhet,Summer,169.63,26.39,Barren,496,6.65,6.76,No,Moderate,Maize
Clay,78,Sylhet,Winter,308.66,31.95,Unused,381,7.21,5.29,No,Low,Maize
Silt,79,Barishal,Winter,128.14,28.58,Agricultural,479,7.23,8.51,No,None,Jute
Sandy,74,Khulna,Summer,274.65,23.67,Agricultural,272,7.01,11.55,No,Low,Rice
Sandy,93,Rangpur,Summer,249.73,25.89,Agricultural,33,5.56,4.03,Yes,Low,Rice
Clay,73,Rangpur,Summer,248.83,34.86,Residential,259,4.66,5.9,No,None,Rice
Sandy,94,Sylhet,Summer,282.05,21.95,Unused,457,6.32,11.51,No,Moderate,Tea
Loamy,86,Dhaka,Summer,241.93,18.56,Agricultural,261,8.06,5.37,No,Moderate,Rice
Silt,63,Khulna,Winter,357.74,22.83,Unused,488,6.78,4.91,No,None,Maize
Peaty,93,Rangpur,Summer,286.45,36.24,Barren,361,7.83,8.56,No,Low,None
Sandy,61,Sylhet,Winter,241.44,17.22,Barren,168,8.47,10.89,No,Low,Wheat
Loamy,44,Rangpur,Winter,340.42,39.79,Agricultural,255,5.15,7.82,Yes,Low,Jute
Peaty,95,Chattogram,Summer,262.15,28.53,Unused,325,7.27,11.96,No,High,None
Silt,72,Khulna,Summer,151.9,39.62,Agricultural,497,7.2,9.43,Yes,Moderate,Wheat
Peaty,97,Khulna,Autumn,122.48,38.47,Barren,186,8.42,4.59,Yes,Low,None
Loamy,75,Chattogram,Winter,103.31,26.32,Agricultural,39,8.44,11.94,No,Moderate,Tea
Peaty,86,Rajshahi,Summer,364.81,19.96,Unused,235,7.25,7.26,Yes,Low,Wheat
Clay,59,Chattogram,Summer,298.55,19.12,Barren,362,5.47,6.3,No,None,Vegetables
Peaty,58,Barishal,Summer,378.08,21.0,Residential,154,7.69,8.46,Yes,None,Rice
Sandy,74,Barishal,Autumn,261.15,32.75,Barren,412,4.93,6.43,No,Moderate,Tea
Sandy,91,Sylhet,Autumn,215.69,21.82,Residential,148,7.62,4.69,Yes,Moderate,None
Clay,82,Khulna,Monsoon,70.9,23.54,Agricultural,429,8.14,4.01,Yes,None,Maize
Loamy,56,Rajshahi,Winter,285.07,26.22,Agricultural,441,6.03,7.6,No,High,Rice
Sandy,98,Rajshahi,Monsoon,253.77,37.83,Unused,313,7.02,10.69,Yes,None,Rice
Silt,84,Rangpur,Summer,396.57,19.73,Residential,265,6.22,8.58,Yes,Low,Wheat
Sandy,82,Rangpur,Autumn,133.71,15.13,Agricultural,208,6.25,11.99,Yes,High,Vegetables
Sandy,73,Chattogram,Autumn,235.76,16.5,Residential,63,5.74,6.29,Yes,None,Rice
Loamy,48,Rajshahi,Monsoon,277.84,37.62,Agricultural,105,7.55,6.24,Yes,High,None
Peaty,65,Chattogram,Autumn,275.61,31.19,Barren,63,8.24,5.28,No,High,None
Sandy,41,Chattogram,Summer,246.45,21.83,Agricultural,349,8.26,5.31,Yes,High,Jute
Clay,92,Rangpur,Autumn,321.92,19.43,Unused,394,5.2,6.28,Yes,Moderate,Jute
Peaty,48,Khulna,Monsoon,121.74,22.36,Barren,465,8.0,10.34,No,None,Rice
Silt,48,Chattogram,Summer,303.97,17.87,Unused,397,7.45,11.25,No,Moderate,Wheat
Loamy,79,Dhaka,Monsoon,266.91,38.54,Barren,409,5.51,11.8,No,Moderate,Wheat
Silt,56,Khulna,Autumn,363.63,34.61,Residential,164,4.77,5.86,Yes,Low,Maize
Peaty,40,Rajshahi,Monsoon,346.52,26.56,Unused,70,5.57,11.05,Yes,Low,Tea
Peaty,64,Rajshahi,Monsoon,160.3,36.62,Agricultural,261,8.15,6.63,Yes,High,Tea
Peaty,100,Chattogram,Winter,146.68,21.24,Residential,313,7.03,4.9,Yes,High,Tea
Silt,82,Khulna,Autumn,393.58,32.93,Agricultural,427,7.38,10.96,No,Low,Vegetables
Peaty,79,Rangpur,Autumn,234.54,36.4,Barren,70,5.53,9.09,No,Low,Wheat
Silt,81,Rangpur,Monsoon,367.25,23.92,Barren,285,7.38,5.32,Yes,None,Maize
Peaty,64,Barishal,Winter,107.36,33.94,Agricultural,139,4.61,7.44,Yes,High,Jute
Clay,78,Rajshahi,Autumn,274.99,22.38,Agricultural,219,6.0,6.3,Yes,High,None
Peaty,74,Sylhet,Summer,333.45,22.47,Residential,424,7.01,9.89,Yes,Low,Tea
Silt,42,Barishal,Monsoon,381.59,17.68,Agricultural,267,5.08,7.63,No,None,Jute
Sandy,89,Rangpur,Autumn,168.07,26.0,Unused,89,7.79,11.91,No,Low,Jute
Peaty,76,Khulna,Summer,303.74,33.24,Unused,360,5.44,4.44,Yes,Low,Rice
Sandy,83,Rangpur,Autumn,238.58,38.51,Agricultural,76,7.11,6.84,No,Moderate,Vegetables
Clay,83,Khulna,Summer,71.22,30.09,Unused,401,6.12,7.86,Yes,High,Maize
Loamy,90,Barishal,Monsoon,291.5,36.58,Agricultural,58,6.88,8.03,Yes,None,Vegetables
Clay,69,Rajshahi,Autumn,291.53,35.56,Residential,491,4.93,6.53,No,Moderate,Rice
Peaty,77,Rangpur,Autumn,375.71,19.33,Unused,308,4.57,9.83,Yes,High,Maize
Sandy,73,Chattogram,Winter,224.06,27.15,Unused,462,8.14,11.0,No,Low,Maize
Sandy,51,Khulna,Monsoon,130.59,17.92,Agricultural,37,5.58,11.51,Yes,None,Wheat
Silt,58,Rajshahi,Summer,65.6,32.05,Unused,459,7.78,10.44,No,High,Vegetables
Sandy,76,Sylhet,Autumn,195.47,38.75,Barren,239,8.5,10.8,Yes,Low,Vegetables
Silt,83,Khulna,Autumn,155.67,18.43,Residential,332,5.35,8.4,No,Moderate,Wheat
Loamy,98,Barishal,Summer,316.38,33.35,Residential,263,5.56,10.61,Yes,None,Jute
Peaty,98,Sylhet,Monsoon,173.99,30.81,Unused,371,7.15,6.43,Yes,High,Rice
Silt,88,Sylhet,Winter,382.17,29.59,Unused,479,8.36,7.19,No,Moderate,Vegetables
Loamy,100,Dhaka,Winter,386.81,24.75,Barren,323,8.16,6.54,Yes,Low,Wheat
Sandy,56,Rangpur,Autumn,267.32,23.88,Barren,317,6.51,7.74,No,Low,None
Sandy,49,Khulna,Summer,375.03,16.13,Unused,302,7.68,6.28,No,High,Maize
Loamy,96,Sylhet,Autumn,316.3,20.45,Unused,93,5.04,11.69,Yes,Low,Tea
Sandy,94,Dhaka,Summer,241.4,15.38,Barren,129,8.41,6.5,Yes,None,None
Loamy,88,Barishal,Winter,113.11,29.54,Agricultural,199,8.36,4.78,Yes,High,Wheat
Silt,86,Rajshahi,Monsoon,210.51,17.65,Barren,445,5.15,8.21,Yes,Moderate,Tea
Silt,51,Chattogram,Summer,246.31,36.83,Agricultural,51,5.7,4.46,No,High,Jute
Loamy,55,Chattogram,Winter,352.39,28.08,Residential,253,4.9,4.88,Yes,High,Rice
Silt,63,Khulna,Autumn,218.47,32.49,Residential,301,5.59,5.76,Yes,Moderate,Tea
Silt,58,Sylhet,Summer,364.19,25.27,Barren,44,7.76,7.71,Yes,Low,Jute
Silt,47,Chattogram,Monsoon,286.02,29.01,Agricultural,350,6.01,7.47,No,Moderate,Tea
Clay,70,Rangpur,Autumn,97.95,38.57,Barren,298,4.85,10.4,Yes,None,Maize
Peaty,60,Chattogram,Autumn,398.24,17.07,Barren,245,5.87,9.92,No,Low,Maize
Sandy,56,Chattogram,Winter,234.53,21.35,Agricultural,76,8.43,7.41,Yes,High,Maize
Clay,62,Chattogram,Summer,187.15,34.5,Barren,199,7.02,6.67,No,Low,Maize
Silt,76,Dhaka,Autumn,280.69,17.47,Residential,251,6.16,6.53,Yes,Low,Wheat
Loamy,93,Sylhet,Monsoon,88.11,16.89,Unused,401,5.17,10.19,Yes,None,Maize
Silt,55,Rangpur,Summer,272.79,24.04,Unused,362,8.44,4.42,No,Low,None
Peaty,45,Sylhet,Monsoon,224.38,17.3,Barren,496,7.78,4.1,Yes,Low,Maize
Silt,47,Khulna,Autumn,192.34,29.63,Agricultural,306,5.63,10.36,Yes,Low,None
Loamy,64,Khulna,Monsoon,383.56,20.66,Agricultural,83,4.78,7.82,Yes,High,Wheat
Peaty,57,Khulna,Winter,232.89,37.39,Residential,474,4.73,5.05,No,Low,Maize
Silt,64,Barishal,Monsoon,126.69,34.59,Agricultural,251,4.98,5.88,Yes,Moderate,Jute
Peaty,51,Chattogram,Summer,210.64,32.49,Agricultural,308,6.82,11.46,No,Low,Jute
Sandy,54,Barishal,Monsoon,371.79,30.42,Residential,232,8.22,10.88,No,None,Vegetables
Sandy,98,Dhaka,Monsoon,111.63,36.59,Barren,277,6.49,9.68,No,Low,Jute
Silt,65,Khulna,Winter,124.88,20.58,Unused,37,7.87,7.86,Yes,Low,Rice
Peaty,80,Rangpur,Monsoon,54.56,36.83,Residential,194,6.28,8.16,No,High,Rice
Loamy,84,Sylhet,Monsoon,54.97,34.74,Barren,436,7.33,11.8,No,Moderate,Rice
Silt,65,Chattogram,Autumn,340.29,33.7,Residential,248,7.43,11.73,Yes,Low,Wheat
Sandy,86,Rajshahi,Autumn,306.24,29.03,Barren,245,5.2,5.72,No,Moderate,Jute
Sandy,71,Rangpur,Summer,174.26,21.16,Residential,103,5.94,10.49,No,None,None
Silt,49,Chattogram,Autumn,294.41,25.59,Barren,310,7.05,5.58,Yes,High,Rice
Peaty,55,Barishal,Autumn,188.32,34.84,Residential,454,4.78,5.71,Yes,Moderate,Vegetables
Sandy,46,Barishal,Autumn,383.51,15.79,Barren,389,5.95,9.41,No,High,Wheat
Peaty,56,Rangpur,Autumn,388.47,34.55,Residential,265,6.64,7.24,Yes,Low,Vegetables
Sandy,62,Barishal,Winter,187.48,21.0,Unused,421,8.48,11.45,Yes,None,Jute
Sandy,65,Khulna,Autumn,348.98,18.61,Unused,129,6.4,4.71,Yes,High,Maize
Clay,60,Dhaka,Winter,320.58,17.89,Agricultural,273,7.76,8.09,No,Low,Vegetables
Sandy,61,Sylhet,Winter,158.5,15.68,Barren,107,6.23,11.35,No,Moderate,Maize
Loamy,97,Dhaka,Autumn,131.21,28.09,Residential,91,7.69,11.23,Yes,None,Wheat
Silt,46,Chattogram,Monsoon,210.38,20.46,Barren,400,6.88,5.25,No,None,Vegetables
Silt,53,Sylhet,Winter,323.47,39.74,Unused,49,8.05,6.93,Yes,Moderate,Vegetables
Peaty,54,Sylhet,Monsoon,386.06,29.36,Barren,191,6.14,8.95,Yes,Moderate,Tea
Sandy,92,Dhaka,Monsoon,317.25,18.45,Residential,328,6.92,5.28,Yes,None,Wheat
Loamy,46,Rangpur,Autumn,349.32,32.22,Barren,413,7.02,11.74,Yes,High,Wheat
Peaty,48,Sylhet,Summer,261.07,37.44,Residential,362,6.17,11.32,Yes,None,Rice
Clay,90,Dhaka,Autumn,342.39,33.63,Unused,455,5.08,5.34,No,Moderate,Jute
Peaty,87,Sylhet,Summer,324.55,16.91,Unused,196,4.87,4.97,No,High,Vegetables
Peaty,47,Rajshahi,Summer,181.94,37.4,Unused,158,4.57,4.68,No,Low,Vegetables
Sandy,89,Rangpur,Autumn,243.2,34.85,Agricultural,213,7.99,11.28,No,None,None
Clay,98,Khulna,Autumn,331.66,18.96,Unused,205,5.45,5.55,Yes,Moderate,Wheat
Peaty,62,Sylhet,Summer,66.12,16.29,Barren,237,5.35,7.33,Yes,Low,Wheat
Loamy,68,Rajshahi,Autumn,332.83,28.93,Agricultural,183,7.44,7.59,No,None,Jute
Loamy,57,Khulna,Summer,112.26,18.9,Unused,180,5.78,8.79,No,None,Wheat
Silt,70,Khulna,Monsoon,230.14,35.86,Barren,450,6.52,4.57,Yes,High,Maize
Clay,69,Chattogram,Autumn,332.9,23.96,Barren,32,5.15,5.81,Yes,Moderate,Maize
Clay,91,Sylhet,Monsoon,138.84,37.82,Barren,315,8.34,11.45,Yes,Low,Tea
Silt,78,Dhaka,Winter,136.03,29.14,Residential,108,7.91,11.27,No,None,Maize
Peaty,74,Sylhet,Monsoon,190.97,19.57,Agricultural,343,7.96,10.25,Yes,High,Maize
Clay,57,Rajshahi,Monsoon,363.12,18.49,Barren,61,6.13,4.16,Yes,Low,Jute
Loamy,98,Khulna,Summer,50.15,29.41,Residential,422,7.55,6.62,No,Low,Vegetables
Loamy,81,Sylhet,Monsoon,365.48,34.05,Unused,229,5.08,9.02,No,None,Maize
Sandy,78,Dhaka,Autumn,103.83,34.54,Barren,248,4.53,6.2,No,Low,Tea
Clay,56,Chattogram,Summer,396.53,21.89,Residential,369,4.58,11.28,Yes,None,Wheat
Peaty,53,Sylhet,Winter,384.2,20.11,Barren,294,6.85,9.07,Yes,High,Maize
Silt,70,Rangpur,Autumn,223.14,15.42,Agricultural,461,6.32,4.58,No,High,Tea
Silt,63,Chattogram,Winter,229.45,31.98,Agricultural,298,6.57,11.27,Yes,Low,Jute
Peaty,74,Dhaka,Monsoon,218.54,16.91,Unused,270,4.53,11.66,Yes,None,None
Sandy,83,Rajshahi,Autumn,272.41,25.52,Barren,329,6.19,4.62,Yes,Moderate,None
Silt,99,Khulna,Autumn,81.75,30.04,Residential,227,7.37,8.26,No,High,None
Clay,84,Sylhet,Winter,61.42,38.43,Unused,340,6.27,6.43,No,None,Wheat
Sandy,73,Dhaka,Autumn,70.2,22.8,Barren,159,7.43,7.14,Yes,None,Tea
Clay,42,Chattogram,Autumn,205.53,21.24,Unused,299,5.43,5.44,Yes,None,Maize
Loamy,76,Rangpur,Autumn,146.44,31.35,Residential,53,7.75,8.62,Yes,Low,Vegetables
Sandy,82,Dhaka,Monsoon,267.71,30.48,Unused,328,6.85,11.66,Yes,Moderate,Wheat
Silt,79,Barishal,Winter,397.35,23.3,Unused,411,5.34,8.02,No,Low,Wheat
Sandy,65,Rangpur,Autumn,185.21,38.2,Unused,37,5.45,4.66,No,High,None
Sandy,94,Chattogram,Summer,250.84,36.12,Barren,76,7.01,8.96,Yes,Low,Vegetables
Sandy,62,Rajshahi,Summer,195.46,20.6,Residential,131,7.82,6.72,Yes,None,None
Sandy,83,Khulna,Summer,346.55,20.98,Agricultural,24,6.16,10.85,No,Low,Wheat
Clay,78,Chattogram,Summer,365.78,27.81,Barren,429,5.53,7.48,Yes,None,Maize
Loamy,54,Rajshahi,Monsoon,357.07,34.34,Agricultural,433,7.97,5.54,No,Moderate,None
Peaty,95,Sylhet,Autumn,391.03,16.1,Agricultural,201,7.18,5.53,Yes,Low,None
Sandy,88,Dhaka,Winter,59.63,32.33,Barren,32,6.29,10.15,No,Low,None
Silt,43,Barishal,Autumn,343.94,31.21,Barren,358,6.45,6.12,Yes,Low,Wheat
Sandy,68,Rangpur,Monsoon,313.12,20.79,Residential,304,5.32,10.14,Yes,None,Maize
Silt,61,Rangpur,Summer,130.04,32.03,Residential,278,7.01,5.65,No,None,Vegetables
Clay,64,Dhaka,Monsoon,384.71,38.5,Unused,109,5.93,6.57,No,Low,Rice
Silt,52,Barishal,Autumn,101.86,16.17,Agricultural,123,8.48,7.72,Yes,Low,Vegetables
Peaty,57,Dhaka,Winter,287.84,22.99,Residential,398,6.42,11.55,Yes,Moderate,Maize
Loamy,72,Sylhet,Monsoon,128.71,25.95,Unused,205,6.44,11.45,No,Moderate,Jute
Silt,55,Rajshahi,Winter,200.98,37.48,Residential,269,6.76,5.65,No,High,None
Silt,84,Chattogram,Monsoon,301.71,39.06,Barren,274,8.17,6.87,Yes,Moderate,Vegetables
Loamy,81,Rangpur,Winter,247.16,26.1,Residential,95,7.7,5.2,Yes,Moderate,Jute
Peaty,83,Sylhet,Winter,199.63,33.75,Agricultural,405,6.3,8.08,No,Moderate,Jute
Sandy,41,Rajshahi,Summer,164.22,28.29,Residential,478,7.37,7.68,No,None,Maize
Silt,94,Sylhet,Winter,343.88,28.44,Agricultural,127,6.84,11.21,No,Moderate,Maize
Loamy,74,Barishal,Summer,100.34,21.95,Barren,175,6.47,11.44,No,Moderate,None
Clay,81,Rangpur,Autumn,200.54,20.42,Agricultural,101,5.27,7.07,No,Low,Rice
Loamy,73,Chattogram,Autumn,366.32,22.2,Residential,96,6.36,7.93,Yes,None,Tea
Clay,69,Dhaka,Summer,346.05,28.91,Unused,489,5.48,11.17,Yes,High,Wheat
Peaty,98,Dhaka,Summer,190.33,15.73,Barren,479,8.16,10.45,No,High,Vegetables
Sandy,94,Rajshahi,Monsoon,317.09,37.68,Residential,277,5.84,4.03,Yes,Moderate,Maize
Loamy,52,Chattogram,Monsoon,338.11,18.91,Barren,146,8.31,6.56,Yes,High,Vegetables
Silt,52,Khulna,Monsoon,361.11,20.5,Barren,410,6.63,7.37,No,High,Tea
Peaty,57,Barishal,Autumn,240.58,27.96,Residential,301,7.03,5.84,Yes,High,Tea
Loamy,71,Rajshahi,Monsoon,121.56,32.75,Residential,493,6.67,5.6,Yes,Moderate,None
Silt,71,Khulna,Winter,139.36,17.39,Unused,107,5.02,4.3,Yes,High,Jute
Loamy,74,Sylhet,Winter,153.49,22.94,Barren,223,6.0,9.15,No,Moderate,None
Clay,98,Barishal,Monsoon,257.83,39.22,Barren,35,4.9,6.1,No,Low,Wheat
Loamy,78,Sylhet,Winter,61.48,21.56,Residential,170,6.99,4.42,Yes,Low,Rice
Loamy,85,Chattogram,Autumn,272.61,22.83,Agricultural,443,6.29,5.85,Yes,High,Vegetables
Loamy,91,Rangpur,Winter,177.52,35.91,Residential,273,7.61,10.42,Yes,Low,Wheat
Peaty,68,Barishal,Autumn,153.33,16.26,Barren,207,5.38,10.81,Yes,Moderate,Rice
Loamy,88,Khulna,Summer,357.82,26.62,Residential,348,5.16,7.86,Yes,Low,Vegetables
Silt,68,Rangpur,Summer,211.0,24.49,Unused,51,6.13,7.33,Yes,High,Wheat
Clay,92,Dhaka,Summer,83.27,22.91,Agricultural,290,8.21,11.82,No,Moderate,Maize
Clay,83,Khulna,Summer,339.36,22.14,Residential,416,7.34,5.6,Yes,None,Vegetables
Loamy,96,Rajshahi,Winter,66.67,17.28,Unused,24,6.18,5.72,Yes,Moderate,Wheat
Peaty,55,Dhaka,Monsoon,304.36,22.87,Barren,478,6.57,6.33,No,Low,Tea
Peaty,95,Dhaka,Winter,320.87,16.08,Residential,349,4.84,5.38,Yes,None,Rice
Silt,83,Rajshahi,Autumn,173.41,34.52,Barren,327,8.44,7.03,Yes,Moderate,Wheat
Loamy,86,Barishal,Winter,338.68,24.96,Unused,352,7.17,11.29,Yes,None,Maize
Clay,96,Dhaka,Winter,230.48,26.1,Barren,188,5.64,8.92,Yes,None,None
Peaty,49,Chattogram,Autumn,212.15,37.34,Unused,200,6.84,7.3,No,None,Vegetables
Loamy,69,Khulna,Summer,65.89,31.45,Unused,385,4.94,11.48,Yes,Moderate,Vegetables
Peaty,64,Rangpur,Summer,151.51,15.2,Unused,197,8.36,4.39,No,Low,Vegetables
Peaty,78,Dhaka,Summer,375.85,38.58,Residential,162,5.2,5.68,Yes,Moderate,Maize
Clay,59,Khulna,Monsoon,187.14,20.93,Barren,381,7.09,8.53,Yes,Low,Rice
Sandy,44,Sylhet,Autumn,241.35,17.69,Barren,267,5.48,8.92,No,Moderate,Vegetables
Silt,40,Khulna,Autumn,236.21,34.2,Agricultural,146,7.37,4.32,Yes,Moderate,Rice
Silt,69,Rangpur,Winter,256.65,27.51,Agricultural,282,7.61,7.22,No,Moderate,Wheat
Clay,88,Khulna,Monsoon,71.47,25.84,Agricultural,59,7.19,9.19,No,Low,Tea
Peaty,42,Rajshahi,Summer,176.76,21.24,Agricultural,431,6.96,9.58,No,Moderate,Tea
Loamy,84,Rangpur,Monsoon,303.09,28.69,Barren,435,8.07,9.11,Yes,None,Rice
Peaty,53,Barishal,Autumn,120.2,21.86,Unused,374,4.81,6.56,Yes,Moderate,Rice
Clay,95,Sylhet,Autumn,121.25,37.54,Unused,274,5.82,4.75,Yes,None,Tea
Silt,69,Rajshahi,Winter,53.53,20.38,Residential,162,5.49,7.42,Yes,High,Vegetables
Peaty,89,Barishal,Winter,203.12,37.11,Unused,259,8.45,5.03,No,High,Jute
Silt,43,Khulna,Autumn,358.96,28.99,Barren,247,6.06,11.58,Yes,Low,Jute
Loamy,57,Rangpur,Summer,68.17,35.71,Barren,360,7.43,7.8,Yes,Low,Maize
Silt,76,Sylhet,Summer,116.89,32.82,Barren,217,7.24,6.54,No,High,None
Silt,64,Rajshahi,Monsoon,158.53,32.42,Residential,84,5.35,10.13,No,Moderate,Tea
Sandy,87,Barishal,Autumn,306.1,23.11,Agricultural,407,5.46,7.98,Yes,Moderate,Tea
Sandy,40,Barishal,Autumn,274.22,20.85,Unused,30,5.63,6.48,No,Moderate,Maize
Sandy,92,Sylhet,Summer,195.58,20.27,Barren,127,6.14,10.5,No,High,Jute
Silt,85,Chattogram,Summer,315.67,36.43,Barren,45,5.44,10.94,No,None,Wheat
Clay,54,Khulna,Autumn,263.37,35.51,Agricultural,464,4.58,9.38,No,Low,Vegetables
Silt,48,Sylhet,Winter,363.61,26.01,Barren,440,8.02,4.38,No,None,Vegetables
Clay,54,Barishal,Autumn,336.31,18.31,Unused,170,8.36,8.53,Yes,High,Wheat
Clay,88,Dhaka,Autumn,138.48,24.56,Residential,240,5.87,10.11,Yes,None,Wheat
Sandy,96,Rajshahi,Summer,145.0,30.48,Barren,360,5.85,5.09,Yes,Moderate,Jute
Peaty,63,Sylhet,Summer,93.87,26.36,Unused,256,4.53,5.83,Yes,Moderate,Maize
Loamy,43,Chattogram,Winter,167.94,34.5,Barren,256,7.22,11.06,Yes,None,Wheat
Sandy,51,Barishal,Winter,399.84,39.94,Agricultural,238,7.8,4.16,Yes,High,Maize
Sandy,98,Khulna,Monsoon,192.01,19.78,Barren,443,5.09,10.02,Yes,None,None
Peaty,97,Barishal,Autumn,127.17,26.49,Barren,480,5.14,7.79,No,Moderate,Rice
Loamy,76,Khulna,Summer,316.87,25.77,Residential,170,7.66,7.57,Yes,Moderate,Vegetables
Silt,100,Sylhet,Winter,239.86,22.61,Agricultural,142,6.97,4.06,Yes,High,Jute
Silt,76,Khulna,Monsoon,102.36,19.95,Agricultural,163,4.68,10.56,Yes,None,Vegetables
Sandy,82,Rangpur,Monsoon,183.24,16.64,Residential,497,6.99,6.88,No,Moderate,Jute
Loamy,99,Rangpur,Summer,195.06,37.18,Barren,208,5.74,8.33,Yes,Moderate,Rice
Sandy,45,Rangpur,Summer,313.84,25.5,Unused,274,5.97,9.42,Yes,None,Vegetables
Clay,78,Chattogram,Monsoon,57.23,27.42,Agricultural,87,7.58,9.62,No,None,Rice
Sandy,95,Chattogram,Winter,144.16,37.92,Agricultural,123,7.74,11.65,Yes,Low,Jute
